13907.00,7.00,-13.88,0.22,0.00,-56.19,-0.07,0.00,2.22,0.00,0.00,-3.79,0.03,0.00,
13928.00,7.00,-13.93,0.22,0.00,-56.14,-0.07,0.00,2.20,0.00,0.00,-1.44,0.03,0.00,
13949.00,7.00,-14.01,0.15,0.00,-56.08,-0.07,0.00,3.25,0.00,0.00,-0.15,0.03,0.00,
13970.00,7.00,-14.09,0.15,0.00,-56.02,-0.07,0.00,3.72,0.00,0.00,0.87,-0.01,0.00,
13991.00,7.00,-14.17,0.15,0.00,-55.95,-0.07,0.00,3.51,0.00,0.00,1.39,-0.01,0.00,
14012.00,7.00,-14.24,0.15,0.00,-55.87,-0.07,0.00,3.54,0.00,0.00,1.57,-0.01,0.00,
14033.00,7.00,-14.31,0.15,0.00,-55.79,-0.07,0.00,4.24,0.00,0.00,1.37,0.08,0.00,
14054.00,7.00,-14.40,0.15,0.00,-55.70,-0.07,0.00,4.69,0.00,0.00,1.27,0.08,0.00,
14075.00,7.00,-14.48,0.15,0.00,-55.60,-0.07,0.00,4.80,0.00,0.00,1.21,0.08,0.00,
14096.00,7.00,-14.56,0.15,0.00,-55.51,-0.07,0.00,4.77,0.00,0.00,1.14,0.01,0.00,
14117.00,7.00,-14.63,0.15,0.00,-55.41,-0.07,0.00,5.02,0.00,0.00,1.18,0.00,0.00,
14138.00,7.00,-14.70,0.15,0.00,-55.30,-0.07,0.00,4.98,0.00,0.00,1.13,0.00,0.00,
14159.00,7.00,-14.76,0.15,0.00,-55.19,-0.07,0.00,4.31,0.00,0.00,1.03,0.00,0.00,
14180.00,7.00,-14.82,0.15,0.00,-55.09,-0.07,0.00,3.88,0.00,0.00,1.04,-0.01,0.00,
14202.00,7.00,-14.87,0.15,0.00,-55.00,-0.07,0.00,3.76,0.00,0.00,1.12,-0.01,0.00,
14223.00,7.00,-14.93,0.15,0.00,-54.92,-0.07,0.00,3.49,0.00,0.00,1.74,-0.01,0.00,
14244.00,7.00,-14.99,0.15,0.00,-54.84,-0.07,0.00,3.12,0.00,0.00,2.22,-0.01,0.00,
14265.00,7.00,-15.05,0.15,0.00,-54.77,-0.07,0.00,2.41,0.00,0.00,2.58,-0.01,0.00,
14286.00,7.00,-15.11,0.15,0.00,-54.70,-0.07,0.00,2.17,0.40,0.00,2.71,-0.02,0.00,
14307.00,7.00,-15.17,0.15,0.00,-54.64,-0.07,0.00,2.08,0.40,0.00,2.73,-0.02,0.00,
14328.00,7.00,-15.24,0.15,0.00,-54.57,-0.07,0.00,2.10,0.40,0.00,2.27,-0.02,0.00,
14349.00,7.00,-15.30,0.15,0.00,-54.50,-0.07,0.00,2.31,0.40,0.00,1.96,-0.02,0.00,
14370.00,7.00,-15.37,0.15,0.00,-54.43,-0.07,0.00,2.65,0.40,0.00,1.62,-0.00,0.00,
14391.00,7.00,-15.43,0.15,0.00,-54.35,-0.07,0.00,2.96,0.40,0.00,1.37,-0.00,0.00,
14412.00,7.00,-15.49,0.15,0.00,-54.27,-0.07,0.00,3.26,0.40,0.00,1.49,-0.00,0.00,
